"last_name, first_name","player_id","year","on_base_plus_slg","woba","xwoba","xiso","avg_swing_speed","avg_swing_length","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed"
"Jung, Josh","673962","2024","0.719",".311",".296",".165",72,"7.2","86.2",38.2,9.9,39.7,"97.932886515","93.114510916"
"Westburg, Jordan","676059","2024","0.793",".340",".355",".215",71,"6.8","91.1",37.4,11.8,46.1,"101.801873375","95.272487"
"DeLuca, Jonny","676356","2024","0.609",".269",".277",".095",70.8,"7.6","84.6",32.7,3.9,28,"96.24111608","92.14905868"
"Velázquez, Nelson","676369","2024","0.640",".280",".307",".188",73.4,"7.5","88.2",29.9,8.8,38.1,"99.364038514","93.836443129"
"Clement, Ernie","676391","2024","0.692",".297",".284",".124",66.8,"6.8","85.5",34.3,3.8,24.9,"95.659056327","91.830379974"
"Burleson, Alec","676475","2024","0.734",".319",".329",".166",71.2,"7.5","89.7",34.3,6.5,41.7,"99.381927173","94.012155751"
"Caballero, José","676609","2024","0.630",".277",".269",".101",69.7,"7","83.7",33.8,5.1,25.2,"96.196185563","92.133024917"
"Meyers, Jake","676694","2024","0.646",".285",".308",".153",68.6,"7","88.2",34.8,6.8,37,"99.317270058","93.726741906"
"McCormick, Chas","676801","2024","0.577",".257",".290",".142",70.8,"7.5","86.2",32.2,7.5,32.8,"97.920374118","93.001741775"
"Schneider, Davis","676914","2024","0.625",".277",".297",".169",69.8,"6.9","88.6",38,12,38,"98.986742636","93.569243488"
"Rocchio, Brayan","677587","2024","0.614",".276",".277",".097",69.5,"7.3","84.6",36,4,22.3,"95.744136806","91.872068403"
"Tena, José","677588","2024","0.652",".286",".302",".167",71.2,"6.9","91.2",30.8,8.3,49.2,"100.972500862","95.33151313"
"Rodríguez, Julio","677594","2024","0.734",".321",".346",".192",76.3,"7.9","91.7",33.2,10.2,48.4,"103.553687536","96.325344116"
"Duran, Ezequiel","677649","2024","0.609",".270",".253",".099",72.6,"7.2","87.1",28.2,3.4,35.9,"98.680111262","93.37676239"
"Abreu, Wilyer","677800","2024","0.781",".336",".322",".199",74.6,"7.4","91.6",33.7,11.1,50.5,"101.945020507","95.552365543"
"Jimenez, Leo","677870","2024","0.687",".308",".314",".140",69.7,"7.4","87.6",40.7,8.1,33.3,"97.300784098","92.763416942"
"Alexander, Blaze","677942","2024","0.664",".298",".260",".085",73.1,"7.3","88.5",22.9,3.4,34.7,"98.808795","93.553851293"
"Witt Jr., Bobby","677951","2024","0.977",".410",".413",".273",74.7,"7.1","92.7",35.7,14.3,48.3,"103.972880446","96.499868141"
"Meadows, Parker","678009","2024","0.743",".321",".301",".156",70.5,"7.2","87",34.7,7.7,32.3,"97.956970619","93.056795751"
"Vargas, Miguel","678246","2024","0.506",".233",".260",".115",69.8,"7.7","86.2",28.9,4.6,26.3,"96.03557","92.025289013"
"Tovar, Ezequiel","678662","2024","0.764",".324",".289",".171",71.3,"7.5","88.8",38.5,9,39.8,"99.306485852","93.964016332"
"Noel, Jhonkensy","678877","2024","0.774",".331",".325",".220",78.1,"7.7","88.6",30.8,14.5,36.8,"100.792552542","94.452483077"
"Rafaela, Ceddanne","678882","2024","0.664",".286",".278",".145",70.1,"7.5","86.6",34.9,7.5,36.9,"98.205036294","93.166643181"
"Rojas, Johan","679032","2024","0.601",".265",".253",".070",71.3,"7.3","85.7",22,2.5,27.4,"97.163679462","92.590351731"
"Torkelson, Spencer","679529","2024","0.669",".295",".284",".145",73.6,"7.5","89",31.5,6.7,39.7,"99.687498067","94.009349451"
"Loftin, Nick","679845","2024","0.518",".242",".284",".084",69.5,"7.4","83.6",30.7,3.1,26,"95.328331587","91.737416905"
"Schuemann, Max","680474","2024","0.619",".281",".297",".120",68.3,"6.7","89",39.5,5.6,37.4,"97.729409209","93.097394065"
"Palacios, Richie","680700","2024","0.664",".303",".324",".095",68.9,"7","86.2",36.4,3.5,30.3,"96.843483131","92.444278274"
"Barger, Addison","680718","2024","0.601",".262",".292",".166",74.3,"7.5","88.3",32.9,8.7,38.3,"100.557905","94.503054898"
"Kwan, Steven","680757","2024","0.793",".349",".334",".104",64.4,"6.4","86.3",38.5,2.6,23.7,"95.04543782","91.531639359"
"Duran, Jarren","680776","2024","0.834",".357",".346",".184",73.6,"7.6","90.8",33.8,9.3,43.9,"101.928155512","95.341113209"
"Jeffers, Ryan","680777","2024","0.732",".317",".305",".167",72.9,"7.5","86.9",31.7,8.3,33.8,"99.008221173","93.57098291"
"Gelof, Zack","680869","2024","0.632",".276",".273",".152",71.6,"7.3","89.2",34.4,8.8,37.2,"98.970921935","93.611147032"
"Donovan, Brendan","680977","2024","0.759",".332",".337",".149",69.6,"6.9","88.7",36.6,5.5,37.6,"98.552237391","93.418618597"
"Stott, Bryson","681082","2024","0.671",".296",".309",".112",68.2,"7.1","87",35.3,3.6,30.8,"97.149266143","92.631038831"
"Bride, Jonah","681146","2024","0.818",".351",".297",".113",67.9,"7.2","87.1",29.9,5.4,33.7,"97.444142826","92.857149348"
"Cowser, Colton","681297","2024","0.768",".331",".331",".215",73.8,"6.9","90.5",32.1,13.6,46.1,"101.838992303","95.374243739"
"O'Hoppe, Logan","681351","2024","0.712",".311",".337",".214",70.7,"7.3","90.4",42.9,12,46.3,"101.233350982","95.0870388"
"Norby, Connor","681393","2024","0.732",".316",".318",".219",70.1,"7.1","86.2",47,14.8,39.1,"99.109980172","93.692715217"
"Carpenter, Kerry","681481","2024","0.932",".390",".385",".301",71.6,"7.5","90.5",40.1,17.7,46.4,"100.928032292","94.944129215"
"Outman, James","681546","2024","0.521",".242",".279",".122",73.2,"7.9","87.6",38.3,4.9,38.3,"100.237923902","94.412729136"
"Pages, Andy","681624","2024","0.712",".310",".326",".179",73.1,"7.7","88.6",40.8,10.7,40.1,"100.310081745","94.262423423"
"Fry, David","681807","2024","0.804",".347",".328",".157",70.5,"7.8","88.3",36.9,7.5,37.6,"99.146678031","93.715471417"
"Schneemann, Daniel","682177","2024","0.671",".295",".279",".102",70.8,"7","88.5",41.3,4.8,38.1,"98.405974921","93.326836825"
"Marte, Noelvi","682622","2024","0.549",".243",".274",".129",73.1,"7.5","87",33.5,6.5,36.1,"98.631095256","93.351013935"
"Alvarez, Francisco","682626","2024","0.710",".310",".291",".146",73.6,"7.2","88.8",27.2,6.7,42,"101.298215536","94.784205516"
"Matos, Luis","682641","2024","0.584",".250",".270",".120",71.7,"7.2","86.9",29.1,3.9,37,"98.298414688","93.205182992"
"Martínez, Angel","682657","2024","0.636",".282",".270",".086",69,"7.3","86.5",29.8,1.7,32.2,"96.829146271","92.477339068"
"De La Cruz, Elly","682829","2024","0.810",".349",".331",".194",75.2,"7.3","91.8",35.7,12.7,45.7,"102.95535404","95.90272362"
"Abrams, CJ","682928","2024","0.747",".322",".323",".166",72.2,"7.5","88.2",33,6.9,40.7,"99.496479615","93.910198048"
"Greene, Riley","682985","2024","0.827",".355",".357",".232",74.6,"7.2","91.3",39.1,13.4,47.1,"102.088081676","95.54007409"
"Carroll, Corbin","682998","2024","0.750",".325",".329",".156",73.7,"7","89.3",27.8,7.2,40.8,"101.055665665","94.755672366"
"Henderson, Gunnar","683002","2024","0.893",".381",".379",".217",76.3,"7.2","92.8",34.5,11.2,53.9,"104.002332911","96.835723291"
"Volpe, Anthony","683011","2024","0.657",".287",".280",".100",69.5,"7.1","87.7",33.3,3.9,35.4,"98.177841555","93.206482989"
"Baty, Brett","683146","2024","0.633",".282",".280",".136",73.5,"7.6","86.6",27.7,5.4,33,"99.354530364","93.683074727"
"Vaughn, Andrew","683734","2024","0.699",".304",".321",".204",70.8,"7.6","90.3",33.6,9.3,43.3,"100.921632928","94.702971332"
"Busch, Michael","683737","2024","0.775",".336",".321",".208",70.3,"7.3","90",36.4,11.2,39.9,"99.992212321","94.370236478"
"Frelick, Sal","686217","2024","0.655",".292",".277",".059",66.3,"6.9","83.4",30,0.8,19.5,"94.439757846","91.272403907"
"Pasquantino, Vinnie","686469","2024","0.761",".325",".331",".177",71.8,"7.4","91",31.9,7.1,46.5,"100.997993151","94.970921142"
"Canzone, Dominic","686527","2024","0.652",".280",".307",".218",72.4,"7.6","89.9",31.6,11.1,44.4,"101.759585593","95.324768718"
"Doyle, Brenton","686668","2024","0.763",".328",".333",".189",70.9,"7.4","89.2",37.4,10.5,41.4,"100.983223096","94.67619269"
"Lee, Korey","686676","2024","0.591",".257",".259",".133",71.4,"7.2","88.3",34.1,7.5,37.6,"99.5141412","93.7992936"
"Massey, Michael","686681","2024","0.743",".317",".312",".161",70.8,"7.2","89.2",34.4,7.1,36.9,"98.396031151","93.36810777"
"Pagés, Pedro","686780","2024","0.657",".286",".275",".125",72,"6.9","89",32,4.8,40.4,"99.177856111","93.608837639"
"Lee, Brooks","686797","2024","0.585",".252",".276",".103",69.3,"6.9","85.8",36.7,4.1,24.5,"95.626582877","91.813291438"
"Brennan, Will","686823","2024","0.697",".303",".301",".106",69,"6.9","86",31.1,4.6,32.5,"97.132881418","92.582691388"
"Neto, Zach","687263","2024","0.761",".330",".318",".186",71,"7.1","88.5",29,8.4,38.8,"100.130832864","94.28058907"
"Scott II, Victor","687363","2024","0.502",".221",".250",".103",69.1,"6.7","88.4",33.3,5.7,33.3,"98.5566202","93.434588081"
"Ortiz, Joey","687401","2024","0.727",".319",".307",".111",73.4,"7.5","87.8",26.6,4.6,38.4,"99.391509467","93.766433018"
"Horwitz, Spencer","687462","2024","0.790",".344",".337",".170",69.5,"7","88.2",37.4,8,36.6,"98.212716794","93.175509618"
"Beck, Jordan","687597","2024","0.521",".231",".269",".129",71.4,"7.7","86.1",32.1,6.6,32.1,"98.643486981","93.335075283"
"Wisely, Brett","689172","2024","0.623",".272",".260",".103",67.5,"6.8","86.8",29.7,5.2,31.6,"96.94857663","92.51248388"
"Keith, Colt","690993","2024","0.689",".301",".313",".132",71.3,"6.7","87.8",34.6,5.6,35.3,"98.472613627","93.330372181"
"Soderstrom, Tyler","691016","2024","0.744",".322",".348",".248",74.4,"7.5","91.9",31.4,14.6,49.6,"102.485036087","95.728140219"
"Walker, Jordan","691023","2024","0.619",".268",".284",".158",77.3,"8.2","91.2",29.3,9.5,43.1,"101.753692241","95.20491069"
"Winn, Masyn","691026","2024","0.730",".315",".296",".107",70.2,"7.3","87",33.5,3.7,32.7,"98.144268452","93.085870398"
"Caminero, Junior","691406","2024","0.723",".309",".300",".168",77.2,"8.3","89.7",25.2,11.8,45.7,"102.966914286","95.641090317"
"Crow-Armstrong, Pete","691718","2024","0.670",".289",".285",".148",70.6,"7.2","88.9",33.3,7.4,36.8,"98.797836565","93.630440766"
"Gonzales, Nick","693304","2024","0.709",".307",".319",".138",71.1,"7.3","87.9",34.1,7.9,36.9,"98.826293958","93.505191185"
"Chourio, Jackson","694192","2024","0.791",".339",".330",".160",73.2,"7.4","89.7",33.2,7.8,44.9,"100.832969557","94.831073407"
"Schanuel, Nolan","694384","2024","0.705",".315",".322",".104",65.2,"6.6","86.1",36.4,3.5,25.4,"95.305191333","91.662606993"
"Loperfido, Joey","694388","2024","0.614",".268",".256",".112",72.9,"7.7","88.3",40.7,4,34.7,"97.968544189","93.030415608"
"Carter, Evan","694497","2024","0.633",".278",".282",".123",71,"7.1","86",33.3,5.9,32.4,"97.157820196","92.58927951"
"Langford, Wyatt","694671","2024","0.740",".321",".333",".174",74.5,"7","89.6",31.3,9.3,43.4,"101.211098854","94.807365599"
"Wood, James","695578","2024","0.781",".342",".351",".173",73.9,"7.4","92.8",31.3,10.6,52,"104.677013333","97.028448782"
"Goodman, Hunter","696100","2024","0.645",".274",".282",".201",74.9,"7.3","88.2",32.9,12.8,39.6,"100.1496636","94.135665034"
"Young, Jacob","696285","2024","0.647",".290",".290",".066",68.2,"6.9","85.8",28.1,1.6,28.9,"96.872142235","92.486924676"
"Rice, Ben","700250","2024","0.613",".269",".336",".231",71.4,"7.4","90",34.9,15.6,36.7,"99.671896909","94.277701284"
"Manzardo, Kyle","700932","2024","0.703",".303",".276",".186",71.8,"7.6","89.1",31.4,9.5,40,"99.627054528","94.056427333"
"Merrill, Jackson","701538","2024","0.826",".352",".376",".240",72.2,"7.5","90.4",39.6,11.3,43.9,"100.811784978","94.735707484"
"Lipscomb III, Trey","702358","2024","0.500",".231",".260",".061",69.8,"7.7","86.5",23,0.7,31.6,"97.923016133","92.984215"
"Holliday, Jackson","702616","2024","0.566",".251",".262",".143",71.2,"7.1","89.3",27,8.2,45.1,"100.212039508","94.576202541"
"Yoshida, Masataka","807799","2024","0.764",".336",".324",".141",70.9,"7.3","88",36.3,5.5,37.5,"99.0909025","93.581912866"
"Lee, Jung Hoo","808982","2024","0.641",".284",".324",".132",70.6,"7.4","89.1",29.1,4.5,41.8,"99.547595821","93.996025338"
