"last_name, first_name","player_id","year","on_base_plus_slg","woba","xwoba","xiso","avg_swing_speed","avg_swing_length","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed"
"Mullins II, Cedric","656775","2024","0.710",".310",".293",".133",70.9,"7.5","87.1",31.7,4.9,33.4,"97.759606105","92.89369311"
"O'Hearn, Ryan","656811","2024","0.761",".330",".352",".187",72.4,"7.1","89.6",35,6.9,40.1,"99.733150957","94.095787394"
"Rivera, Emmanuel","656896","2024","0.655",".291",".319",".137",69.6,"6.9","89.7",33.7,7.9,44.1,"99.97328099","94.404966716"
"Schwarber, Kyle","656941","2024","0.851",".366",".380",".262",77.5,"7.7","93.6",31.8,15.6,55.5,"105.154527813","97.529843438"
"Smith, Pavin","656976","2024","0.895",".377",".395",".243",73,"7.4","90.2",34.9,14.7,44,"101.669639091","95.421898349"
"Thomas, Lane","657041","2024","0.709",".309",".310",".138",71.7,"6.8","88.8",31.5,7.4,40.6,"100.376555353","94.3557595"
"Verdugo, Alex","657077","2024","0.647",".283",".304",".129",68.4,"6.3","88.3",31.6,5.6,34.9,"98.009613263","93.0881338"
"Wong, Connor","657136","2024","0.758",".330",".289",".130",72,"7.3","86.5",30.7,6.3,34.5,"98.745018171","93.452738532"
"DeJong, Paul","657557","2024","0.703",".302",".293",".183",72,"6.9","87.8",36.4,10.2,41.5,"99.999893878","94.174456531"
"Laureano, Ramón","657656","2024","0.748",".324",".317",".201",72.7,"7.2","89.2",38.7,12.6,40.8,"100.254641146","94.492561099"
"Sheets, Gavin","657757","2024","0.660",".291",".312",".136",72.7,"7.6","87.8",41.1,5.7,35.3,"98.863415862","93.510571585"
"Olivares, Edward","658668","2024","0.624",".276",".331",".118",71.8,"7.3","86.8",35.5,6.4,35.5,"98.508436056","93.311684681"
"Ohtani, Shohei","660271","2024","1.036",".431",".448",".358",76.3,"7.8","95.8",37.8,21.5,60.1,"106.727792385","98.772122364"
"Bruján, Vidal","660644","2024","0.622",".276",".262",".067",66.9,"7","85.1",29.7,1.5,22.6,"95.193229158","91.616436508"
"Acuña Jr., Ronald","660670","2024","0.716",".322",".348",".168",76.8,"7.6","92.2",31.7,9.4,48.2,"103.064738696","96.113602174"
"Ruiz, Keibert","660688","2024","0.619",".268",".280",".105",66.4,"7.1","85.4",32.2,3.2,25.6,"95.477673333","91.740685858"
"Montero, Elehuris","660707","2024","0.571",".254",".274",".127",75.1,"7.6","89.5",27.5,7.6,41.5,"100.877618721","94.67846193"
"Yepez, Juan","660766","2024","0.764",".331",".300",".107",70.5,"7.3","86.6",30.3,5.9,35.6,"98.208738602","93.111621613"
"Sánchez, Jesús","660821","2024","0.730",".317",".345",".211",75.2,"7.1","92.5",31.8,12.2,51.3,"104.556000571","96.923820315"
"Contreras, William","661388","2024","0.831",".359",".360",".211",74.7,"7.3","92.8",29,10,49.5,"103.875480043","96.642602527"
"Varsho, Daulton","662139","2024","0.700",".304",".265",".135",73.7,"7.6","86.1",30.2,6.2,34,"98.537583503","93.276618121"
"Perkins, Blake","663368","2024","0.648",".288",".282",".099",69.4,"7.3","88.8",32,3.9,37.7,"97.789208222","93.114376074"
"Nootbaar, Lars","663457","2024","0.759",".331",".358",".200",72.6,"6.8","91.8",32.2,9.9,49.5,"102.282162353","95.717855683"
"Nevin, Tyler","663527","2024","0.619",".276",".297",".155",68.4,"7","89.8",37,8.7,40.8,"99.059252088","93.891727514"
"Hoerner, Nico","663538","2024","0.708",".313",".314",".075",68.2,"7.1","85.7",36,1.2,27.6,"95.980926525","91.993965849"
"Riley, Austin","663586","2024","0.783",".338",".366",".245",75.2,"7.5","93.3",37.2,14.9,53.4,"103.77151961","96.882758664"
"Larnach, Trevor","663616","2024","0.772",".336",".352",".210",72.8,"7.4","92",36.2,10.1,45.1,"102.375195821","95.54188573"
"Mountcastle, Ryan","663624","2024","0.733",".316",".335",".180",75.1,"7.5","90.8",36.2,8.8,45.2,"102.105716923","95.370233104"
"Hayes, Ke'Bryan","663647","2024","0.573",".256",".278",".085",72.1,"6.9","88.9",29.9,2.4,42.9,"99.837230137","94.135653938"
"Tucker, Kyle","663656","2024","0.993",".419",".407",".270",72.1,"7.5","91.1",40,12.9,44.9,"100.157901947","94.740150044"
"Cameron, Daz","663662","2024","0.587",".258",".287",".134",72.9,"6.8","91.6",36.4,8.3,48.8,"101.2654245","95.191277667"
"India, Jonathan","663697","2024","0.749",".333",".354",".150",71.7,"7.2","87.2",39.3,7.7,36.5,"98.90319256","93.547150797"
"Bart, Joey","663698","2024","0.799",".347",".333",".195",74.8,"7.5","88.1",32.6,9.4,38.7,"100.959040333","94.605861732"
"Raleigh, Cal","663728","2024","0.748",".323",".347",".251",74.5,"7.8","91",35.6,15.4,48.1,"102.032071755","95.508789467"
"Fortes, Nick","663743","2024","0.577",".252",".245",".066",71.3,"7.1","84.3",29,1.4,22.6,"95.578582782","91.819744812"
"Grisham, Trent","663757","2024","0.675",".295",".312",".198",70.4,"7.7","90.6",25.6,12,46.4,"100.360050339","94.648811864"
"Vierling, Matt","663837","2024","0.735",".317",".313",".142",71.1,"7.4","89.8",34.1,7.5,40.9,"100.235830606","94.344722247"
"Gonzalez, Romy","663853","2024","0.723",".311",".315",".169",74.1,"7","92.3",29.7,8.3,51,"104.214637183","96.826247676"
"Stephenson, Tyler","663886","2024","0.782",".339",".322",".165",70.8,"7.4","90.2",33,9.1,43.9,"100.320154503","94.587176774"
"Rodgers, Brendan","663898","2024","0.721",".314",".297",".134",71.7,"7.1","89.3",33.1,5.6,44.1,"101.153269243","94.773964417"
"Lowe, Nathaniel","663993","2024","0.762",".337",".329",".132",73.3,"7.3","88.9",32.6,5.8,40,"100.432822253","94.330442369"
"Happ, Ian","664023","2024","0.782",".341",".349",".211",72.4,"7","90.8",37,11.7,45.2,"101.590666318","95.287992294"
"France, Ty","664034","2024","0.670",".296",".305",".166",71,"7.6","88.7",30.5,7.3,40,"99.663679892","94.004650595"
"Lowe, Brandon","664040","2024","0.784",".335",".350",".239",73.4,"7.1","89.8",39.6,12.4,44.7,"101.345776014","94.9549512"
"Bader, Harrison","664056","2024","0.657",".285",".296",".138",71.1,"7.1","87.2",33.9,6.4,35.5,"98.685690255","93.420801022"
"Moore, Dylan","664238","2024","0.687",".306",".302",".131",73,"7.1","88.4",38.2,8.8,36.3,"98.78016696","93.44884728"
"Isbel, Kyle","664728","2024","0.654",".286",".281",".100",70.8,"7.2","88.1",24.8,3.9,36.3,"99.427451293","93.787078878"
"Bohm, Alec","664761","2024","0.780",".335",".345",".162",72.2,"7.4","90.4",35.2,6.8,45.6,"100.768220847","94.781662669"
"Wade Jr., LaMonte","664774","2024","0.761",".337",".357",".176",72.4,"6.8","90.5",39.6,9.4,44.1,"101.160100656","95.071984568"
"Brown, Seth","664913","2024","0.661",".289",".296",".160",73.3,"7.2","90",35.2,8.4,40.6,"100.936577054","94.815981008"
"McCarthy, Jake","664983","2024","0.749",".329",".314",".098",67.3,"6.7","84.5",30.4,2.7,24.5,"95.637290857","91.834529486"
"Peña, Jeremy","665161","2024","0.702",".305",".313",".135",72.6,"7.6","88.2",29.2,5.4,38.8,"99.323506707","93.74168435"
"Tatis Jr., Fernando","665487","2024","0.832",".359",".393",".250",74.9,"7.4","93.5",33.7,14.5,55.8,"104.418991126","97.109953874"
"Guerrero Jr., Vladimir","665489","2024","0.940",".398",".410",".253",75.9,"7.7","93.8",35.1,13.7,54.9,"105.663720766","97.649346073"
"Pache, Cristian","665506","2024","0.552",".250",".254",".095",71.7,"7.4","89.9",26.5,4.9,38.2,"99.682097","94.253817172"
"Soto, Juan","665742","2024","0.988",".421",".463",".339",75.5,"7.3","94.2",35.4,19.7,57,"105.650123728","97.994705143"
"Taveras, Leody","665750","2024","0.641",".282",".300",".136",71.3,"7.5","89",31.5,5.9,35.5,"99.173170874","93.650113205"
"Amaya, Miguel","665804","2024","0.645",".283",".302",".128",72.9,"7.2","88.4",33.9,4.7,33.9,"99.101174286","93.708861353"
"Cabrera, Oswaldo","665828","2024","0.661",".290",".285",".089",68.3,"7","88.2",34,3.7,34.9,"97.641570336","92.88412097"
"Cruz, Oneil","665833","2024","0.773",".331",".342",".206",78.6,"7.7","95.5",32.1,15.7,54.9,"107.199352928","98.547881492"
"Valdez, Enmanuel","665839","2024","0.633",".275",".309",".182",70.4,"7.5","89.4",32,9.2,41.8,"99.9120656","94.1331724"
"Chisholm Jr., Jazz","665862","2024","0.760",".327",".318",".180",72,"7.5","89.7",29.6,9.7,41.1,"100.122466782","94.459141861"
"Giménez, Andrés","665926","2024","0.638",".281",".299",".097",68.2,"7","86.3",32.7,2.8,28.5,"96.492499139","92.262342361"
"Fermin, Freddy","666023","2024","0.685",".300",".276",".092",70.8,"7.5","88.2",29.2,3.2,33.9,"97.931397537","93.085600262"
"Jones, Nolan","666134","2024","0.641",".287",".288",".114",70.7,"6.7","88.2",34.3,5.9,44.4,"100.556302024","94.528500893"
"Kirilloff, Alex","666135","2024","0.654",".282",".311",".207",72.4,"7.8","91.3",27,11.3,40.9,"100.310300172","94.70393913"
"Lowe, Josh","666139","2024","0.693",".299",".296",".163",73.3,"7.2","90.8",37.9,10.3,46.1,"100.893361034","94.928910905"
"Fitzgerald, Tyler","666149","2024","0.831",".357",".295",".155",70.5,"7.4","87.7",39.1,8.2,31.9,"97.5779034","92.79850055"
"Fletcher, Dominic","666150","2024","0.508",".227",".247",".069",66.7,"6.5","84.4",38.7,1.8,26.8,"95.808053494","91.934485697"
"Hamilton, David","666152","2024","0.698",".305",".285",".120",68.9,"7.2","87",38.3,5.6,32.2,"97.714382095","92.969829904"
"Lux, Gavin","666158","2024","0.703",".310",".320",".131",71.3,"7.3","88.3",35,6,41.1,"98.995997212","93.691033374"
"Moniak, Mickey","666160","2024","0.646",".281",".287",".167",73.1,"7.7","88.1",31.9,9.3,34.4,"99.494460797","93.816907681"
"Rortvedt, Ben","666163","2024","0.620",".283",".268",".087",69.7,"7.1","86.2",30.2,3.5,30.7,"96.9585767","92.49508965"
"Adell, Jo","666176","2024","0.682",".296",".317",".200",76.7,"7.6","89.8",30.5,11.7,44.7,"102.6788005","95.748719749"
"Benson, Will","666181","2024","0.650",".285",".271",".157",72.1,"7.9","89.4",36.5,11.5,40.1,"99.756805263","94.123444"
"Bichette, Bo","666182","2024","0.599",".264",".302",".121",70.4,"7.3","89.2",31.3,4.4,43.5,"100.896776504","94.778862816"
"Carlson, Dylan","666185","2024","0.564",".257",".256",".081",68.5,"7.1","86.8",30.1,2.5,25.8,"96.530139877","92.297463602"
"Naylor, Bo","666310","2024","0.614",".269",".262",".137",70.6,"7.4","88.8",32.6,8.1,37.7,"98.72815","93.535266567"
"Julien, Edouard","666397","2024","0.615",".278",".290",".163",71.9,"7.1","87.8",38.4,9.8,37.8,"98.889968415","93.491651402"
"Morel, Christopher","666624","2024","0.634",".280",".318",".181",76.1,"8","89.2",27.6,10.2,40.4,"101.221222105","94.784090605"
"García, Adolis","666969","2024","0.684",".296",".308",".193",72,"7.9","91",33.7,12.5,48.2,"101.827676765","95.435631691"
"Gurriel Jr., Lourdes","666971","2024","0.757",".327",".321",".157",70.6,"7.5","88.4",33.8,6.7,40,"99.549348469","93.921850288"
"Julks, Corey","667452","2024","0.581",".260",".266",".098",70.7,"7","84.9",33.9,3.2,29,"96.954618226","92.479937742"
"Rooker Jr., Brent","667670","2024","0.927",".392",".383",".301",73.7,"7.1","91.9",38.3,16.6,49.6,"103.25238457","96.193453235"
"Arozarena, Randy","668227","2024","0.720",".320",".327",".168",72.7,"7.4","90.4",28.4,8.3,43.5,"100.904108177","94.731331384"
"Rogers, Jake","668670","2024","0.607",".264",".300",".198",70.7,"7.4","89",32.9,9.9,41.8,"99.180639906","93.973828585"
"Bleday, JJ","668709","2024","0.761",".330",".319",".160",71.7,"7.3","88.5",37.1,8.3,36.2,"98.959573229","93.527316345"
